city,state,state_name
Los Angeles,CA,California
San Diego,CA,California
Sacramento,CA,California
San Jose,CA,California
Fresno,CA,California
San Francisco,CA,California
Oakland,CA,California
Long Beach,CA,California
Pasadena,CA,California
Glendale,CA,California
Bakersfield,CA,California
Stockton,CA,California
San Bernardino,CA,California
Anaheim,CA,California
Irvine,CA,California
Riverside,CA,California
Burbank,CA,California
Inglewood,CA,California
Berkeley,CA,California
Santa Monica,CA,California
Jacksonville,FL,Florida
Tampa,FL,Florida
Miami,FL,Florida
Orlando,FL,Florida
St. Petersburg,FL,Florida
Fort Lauderdale,FL,Florida
Tallahassee,FL,Florida
Gainesville,FL,Florida
Hollywood,FL,Florida
Clearwater,FL,Florida
Boca Raton,FL,Florida
Daytona Beach,FL,Florida
Largo,FL,Florida
Plantation,FL,Florida
West Palm Beach,FL,Florida
Lakeland,FL,Florida
Palm Bay,FL,Florida
Chicago,IL,Illinois
Springfield,IL,Illinois
Peoria,IL,Illinois
Rockford,IL,Illinois
Aurora,IL,Illinois
Joliet,IL,Illinois
Schaumburg,IL,Illinois
Champaign,IL,Illinois
Bloomington,IL,Illinois
Decatur,IL,Illinois
East St. Louis,IL,Illinois
Indianapolis,IN,Indiana
Fort Wayne,IN,Indiana
Evansville,IN,Indiana
South Bend,IN,Indiana
Jeffersonville,IN,Indiana
Gary,IN,Indiana
Terre Haute,IN,Indiana
Anderson,IN,Indiana
Hammond,IN,Indiana
Muncie,IN,Indiana
Lafayette,IN,Indiana
Carmel,IN,Indiana
Phoenix,AZ,Arizona
Tucson,AZ,Arizona
Mesa,AZ,Arizona
Scottsdale,AZ,Arizona
Gilbert,AZ,Arizona
Tempe,AZ,Arizona
Chandler,AZ,Arizona
Marana,AZ,Arizona
Atlanta,GA,Georgia
Macon,GA,Georgia
Savannah,GA,Georgia
Augusta,GA,Georgia
South Fulton,GA,Georgia
Athens,GA,Georgia
Marietta,GA,Georgia
Sandy Springs,GA,Georgia
Seattle,WA,Washington
Tacoma,WA,Washington
Spokane,WA,Washington
Vancouver,WA,Washington
Spokane Valley,WA,Washington
Bellevue,WA,Washington
Kent,WA,Washington
Everett,WA,Washington
Houston,TX,Texas
Dallas,TX,Texas
El Paso,TX,Texas
San Antonio,TX,Texas
Austin,TX,Texas
Fort Worth,TX,Texas
Fort Bliss,TX,Texas
Corpus Christi,TX,Texas
Lubbock,TX,Texas
Amarillo,TX,Texas
Waco,TX,Texas
Irving,TX,Texas
